obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,redshift,plate,MJD,fiber_ID
1237000000000000000,225.56314590200085,51.625173767660755,21.18723258753843,17.838288663183913,18.736506395035068,18.6762403179773,17.585918641766913,6483,301,1,588,5780000000000000000,2.5780631820495876,715,58081,398
1237000000000000001,164.28630208668176,42.299423948537566,21.983221993926723,19.409422483830745,19.568796511060917,18.646585891616148,18.06906916626221,992,301,6,825,5780000000000000001,0.0016698890947109968,9351,57970,131
1237000000000000002,240.1325123967307,25.306723640907897,21.011370118500057,20.07959169986753,19.618016872044446,17.304356827369986,17.757939816425754,6773,301,6,513,5780000000000000002,1.843510173372525,3478,57959,562
1237000000000000003,324.6049112532827,11.42644872579453,21.73805770554144,23.531531486010284,20.072630345843407,18.769909808298564,18.15200418125886,4907,301,6,157,5780000000000000003,1.4267578878307745,9642,53301,605
1237000000000000004,155.03279160148534,37.851668091128914,19.35957799956932,21.534829686800638,18.233141636719175,19.832829081821746,18.48584968928881,8149,301,1,439,5780000000000000004,0.2980093175917103,6441,54500,892
1237000000000000005,155.03437595348356,31.865193579006153,22.519940561059407,18.696777646350164,20.19256727384733,17.825767880923205,19.537154486331385,1332,301,5,175,5780000000000000005,0.5740923495875082,6209,55419,822
1237000000000000006,330.02669271238284,41.72107591771609,22.201808213043336,21.429054434126456,16.895608368397227,20.148482651050593,18.378840961294298,3002,301,4,900,5780000000000000006,0.0,11681,55788,902
1237000000000000007,251.68828818448372,36.61304226148873,20.974367053397714,18.379044016592452,18.97011544763619,19.587774821084338,17.114374293230405,6925,301,5,320,5780000000000000007,0.18321800521375747,8292,52292,945
1237000000000000008,132.32378666517826,44.75341649228871,23.188868502648607,22.324036580830608,19.111726157548457,18.365766678028965,19.84006784649516,5827,301,6,528,5780000000000000008,0.29282091318876685,7712,55948,407
1237000000000000009,229.98737708310327,13.620788572688515,23.606355206439837,19.99331302227318,20.23332682607124,18.958470362662155,17.86290986638496,2177,301,4,24,5780000000000000009,0.6920056800840575,1574,54527,732
